Tester ID/Tester Station:RGT-3120
Computer Name           :DESKTOP-USUQBTQ
Handler/Prober Name     :UF2000
Temperature: 023.8C
Production ID           :JBS LLD 71V
Test Program Name       :C:\POWORLD\RGT.Net\Recipes\LLD_71V_Eng_Run_04302026.TestPg
Device Name             :JBS LLD 71V
Lot ID                  :N64S03A01
Wafer ID                :N64S03A01
Probe Card No           :11-02626B
Load Board No           :CP5
SFT                     :
OPERATOR                :A000697
Test Start Date         :Wed May 13 11:33:24 2026
Test End Date           :Wed May 13 11:46:52 2026
Fail Retest Rate        :
Sequence All ON         :ON
PreLoad Pat(Time)       :
Craft Current User      :
Craft Version           :
OutPut TDO              :C:\DataLog\Report\LLD_71V_Eng_Run_04302026\N64S03A_OD75um
Run Card No             :N64S03A_OD75um
Rom Code                :



 Sample   Pass   Pass%   Fail   Fail%
    549     40    7.29    509   92.71

,,,,,,Contact2[Step1],VZ[Step2],VZ[Step3],VZ[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],Calculate[Step4],VFSDS[Step5],VZ[Step6],VZ[Step6],Calculate[Step6],IR[Step7],IR[Step7],Calculate[Step7],VFSDS[Step8],IR[Step9],VZ[Step10]
57,1,5,5,12,11,3.7861,74.842,74.845,74.851,13.638,13.618,13.608,13.605,13.604,13.593,13.595,13.594,13.598,13.593,13.596,13.596,13.596,13.598,13.605,13.604,13.598,13.601,13.601,13.6,13.601,19.996,265.22,74.78,74.757,22.736,6.7385,6.7366,0.0018,312.68,6.5728,74.944
58,1,5,5,13,11,3.6971,75.008,75.01,75.007,13.082,13.058,13.047,13.044,13.043,13.041,13.042,13.041,13.039,13.04,13.041,13.041,13.041,13.042,13.043,13.042,13.042,13.044,13.046,13.043,13.04,24.042,264.67,74.984,74.988,3.4332,6.5691,6.5704,0.0013,312.16,6.4082,75.054
59,1,5,5,14,11,3.6143,74.902,74.908,74.908,13.406,13.386,13.375,13.372,13.372,13.371,13.37,13.372,13.373,13.373,13.374,13.376,13.375,13.376,13.375,13.376,13.375,13.376,13.377,13.378,13.379,19.982,264.45,74.902,74.888,13.733,6.706,6.7044,0.0016,311.8,6.5235,74.954
60,1,5,5,15,11,3.767,74.75,74.755,74.753,12.564,12.541,12.531,12.527,12.525,12.525,12.525,12.526,12.526,12.526,12.527,12.529,12.526,12.526,12.528,12.529,12.529,12.53,12.53,12.529,12.529,22.458,264.43,74.734,74.737,3.5095,6.4711,6.4699,0.0012,311.67,6.2937,74.816
61,1,5,5,16,11,3.6622,74.631,74.639,74.636,12.916,12.893,12.882,12.877,12.875,12.875,12.874,12.874,12.875,12.875,12.875,12.875,12.874,12.875,12.876,12.876,12.878,12.878,12.878,12.878,12.878,23.129,264.65,74.648,74.639,9.0027,6.497,6.4949,0.0021,312.11,6.3229,74.701
62,1,5,5,17,11,3.6628,74.556,74.562,74.552,12.527,12.504,12.493,12.489,12.486,12.485,12.487,12.487,12.487,12.487,12.486,12.486,12.486,12.487,12.489,12.489,12.489,12.489,12.489,12.49,12.49,22.654,264.73,74.536,74.583,46.844,6.4205,6.4182,0.0023,312.13,6.247,74.613
63,1,5,5,18,11,3.6242,74.506,74.511,74.507,12.516,12.493,12.485,12.481,12.479,12.478,12.48,12.481,12.48,12.48,12.481,12.481,12.482,12.482,12.483,12.481,12.482,12.482,12.483,12.483,12.483,22.515,264.71,74.498,74.499,1.2894,6.4189,6.4171,0.0018,312.1,6.247,74.572
64,1,5,5,19,11,3.7315,74.486,74.488,74.49,12.437,12.416,12.406,12.404,12.4,12.401,12.403,12.402,12.403,12.404,12.405,12.405,12.404,12.404,12.404,12.405,12.405,12.406,12.406,12.406,12.407,21.229,264.68,74.47,74.523,52.963,6.4208,6.4186,0.0022,311.88,6.249,74.54
65,1,5,5,20,11,3.7348,74.47,74.474,74.474,12.352,12.329,12.32,12.318,12.317,12.317,12.316,12.316,12.317,12.318,12.319,12.318,12.319,12.32,12.32,12.32,12.32,12.321,12.321,12.321,12.321,23.229,264.95,74.472,74.46,12.894,6.3739,6.372,0.0019,312.29,6.2036,74.528
66,1,5,5,21,11,3.6725,74.469,74.468,74.465,12.374,12.351,12.341,12.335,12.334,12.333,12.332,12.335,12.335,12.336,12.337,12.336,12.336,12.336,12.336,12.337,12.338,12.337,12.337,12.338,12.337,22.376,264.82,74.449,74.458,8.6212,6.3889,6.3874,0.0015,312.19,6.2204,74.53
67,1,5,5,22,11,3.729,74.48,74.484,74.486,12.371,12.349,12.339,12.333,12.333,12.333,12.332,12.333,12.333,12.334,12.335,12.335,12.336,12.336,12.337,12.337,12.336,12.336,12.338,12.338,12.338,22.726,264.83,74.464,74.469,4.8065,6.3925,6.3902,0.0023,312.03,6.2239,74.544
68,1,5,5,23,11,3.7561,74.519,74.53,74.53,12.393,12.369,12.36,12.356,12.355,12.354,12.354,12.356,12.356,12.357,12.355,12.356,12.357,12.356,12.356,12.357,12.356,12.357,12.357,12.357,12.358,23.451,264.76,74.501,74.58,78.819,6.4116,6.41,0.0017,312.06,6.2454,74.6
69,1,5,5,24,11,3.8061,74.61,74.611,74.609,12.28,12.259,12.247,12.244,12.242,12.241,12.241,12.242,12.243,12.242,12.242,12.243,12.244,12.244,12.245,12.245,12.245,12.244,12.244,12.244,12.246,21.755,265.11,74.581,74.597,16.861,6.3502,6.3479,0.0022,312.49,6.1845,74.689
70,1,5,5,25,11,3.7741,74.753,74.753,74.756,12.307,12.283,12.271,12.266,12.263,12.264,12.264,12.263,12.264,12.265,12.265,12.265,12.264,12.265,12.265,12.265,12.266,12.267,12.268,12.266,12.267,24.263,265.03,74.713,74.695,17.944,6.3517,6.3498,0.0019,312.48,6.1877,74.826
71,1,5,5,26,11,3.7911,74.885,74.889,74.892,12.292,12.268,12.257,12.251,12.25,12.249,12.25,12.25,12.25,12.25,12.25,12.25,12.251,12.251,12.25,12.252,12.252,12.253,12.254,12.252,12.252,23.706,265.06,74.866,74.853,12.894,6.3393,6.3373,0.002,312.42,6.1758,74.94
72,1,5,5,27,11,3.7898,74.856,74.849,74.852,12.222,12.2,12.19,12.185,12.184,12.182,12.182,12.183,12.183,12.184,12.185,12.184,12.184,12.184,12.184,12.185,12.186,12.185,12.185,12.186,12.186,22.371,265.08,74.792,74.759,33.493,6.3498,6.3477,0.002,312.47,6.1862,74.928
73,1,5,5,28,11,3.7963,74.198,74.203,74.206,11.788,11.769,11.76,11.756,11.754,11.753,11.767,11.753,11.754,11.755,11.755,11.755,11.756,11.755,11.756,11.757,11.757,11.758,11.757,11.757,11.757,19.081,265.36,74.083,73.994,88.982,6.3396,6.3377,0.0018,312.79,6.1764,74.36
74,1,5,27,29,11,3.7708,71.927,71.933,71.938,20.002,10.866,10.859,10.958,10.853,10.853,10.853,10.855,10.854,10.855,10.856,10.857,10.857,10.857,10.856,10.947,10.857,40.251,10.973,10.862,10.86,9136.53,265.17,71.78,71.535,245.69,6.501,6.4986,0.0025,312.49,6.3372,72.227
75,1,5,8,30,12,3.7584,71.231,71.239,71.239,70.871,10.667,100.01,81.953,100.01,42.05,84.829,98.273,68.011,10.662,56.953,59.364,53.003,76.624,46.266,90.848,10.662,100.01,43.284,89.115,50.423,60203.59,264.78,71.087,70.806,280.92,6.5719,6.5685,0.0034,312.25,6.4067,71.553
76,1,5,5,29,12,3.7836,74.162,74.168,74.168,11.781,11.764,11.757,11.769,11.751,11.751,11.751,11.753,11.753,11.753,11.754,11.754,11.754,11.755,11.755,11.756,11.755,11.755,11.757,11.758,11.757,16.675,265.31,74.05,73.965,84.618,6.3571,6.3554,0.0017,312.59,6.1959,74.338
77,1,5,5,28,12,3.7678,74.915,74.911,74.916,12.225,12.204,12.195,12.19,12.189,12.188,12.187,12.188,12.187,12.188,12.188,12.188,12.189,12.189,12.189,12.19,12.189,12.189,12.189,12.191,12.191,20.917,265.09,74.855,74.927,71.579,6.3464,6.3445,0.002,312.63,6.1861,74.986
78,1,5,5,27,12,3.8007,74.904,74.905,74.904,12.347,12.325,12.315,12.311,12.309,12.308,12.308,12.309,12.309,12.31,12.311,12.31,12.312,12.312,12.311,12.311,12.313,12.313,12.313,12.313,12.313,22.505,264.92,74.872,74.876,4.2725,6.3615,6.3594,0.0022,312.27,6.2005,74.959
79,1,5,5,26,12,3.8442,74.7,74.709,74.704,12.334,12.312,12.304,12.301,12.299,12.299,12.299,12.299,12.301,12.302,12.303,12.303,12.302,12.324,12.302,12.303,12.303,12.304,12.304,12.304,12.304,22.34,264.95,74.662,74.644,18.082,6.3712,6.3698,0.0015,312.3,6.2107,74.769
80,1,5,5,25,12,3.8399,74.524,74.523,74.528,12.351,12.329,12.32,12.319,12.319,12.32,12.319,12.32,12.32,12.319,12.321,12.322,12.322,12.322,12.322,12.322,12.322,12.322,12.323,12.323,12.322,21.548,265.01,74.496,74.484,12.444,6.3842,6.3827,0.0015,312.32,6.2255,74.594
81,1,5,5,24,12,3.8229,74.426,74.422,74.426,12.335,12.311,12.301,12.295,12.294,12.293,12.293,12.293,12.293,12.293,12.293,12.293,12.294,12.296,12.296,12.295,12.295,12.296,12.296,12.297,12.296,23.797,265.03,74.413,74.407,6.3324,6.3627,6.3609,0.0018,312.38,6.2026,74.476
82,1,5,5,23,12,3.9013,74.387,74.383,74.384,12.317,12.294,12.284,12.281,12.28,12.28,12.28,12.279,12.28,12.28,12.28,12.281,12.281,12.28,12.281,12.282,12.282,12.284,12.283,12.283,12.282,22.47,265.11,74.362,74.369,6.5613,6.3512,6.3494,0.0018,312.45,6.1923,74.428
83,1,5,5,22,12,3.8406,74.353,74.362,74.356,12.3,12.278,12.268,12.264,12.262,12.26,12.262,12.263,12.263,12.263,12.263,12.264,12.265,12.266,12.266,12.265,12.264,12.265,12.266,12.267,12.266,21.832,265.06,74.352,74.366,14.038,6.3469,6.3452,0.0017,312.23,6.1884,74.411
84,1,5,5,21,12,3.833,74.356,74.362,74.36,12.305,12.283,12.271,12.268,12.267,12.266,12.266,12.266,12.267,12.266,12.267,12.268,12.268,12.268,12.269,12.27,12.267,12.268,12.269,12.27,12.27,22.352,265.02,74.345,74.371,25.33,6.3434,6.3419,0.0015,312.29,6.1849,74.407
85,1,5,5,20,12,3.8142,74.357,74.36,74.359,12.269,12.247,12.237,12.233,12.232,12.231,12.231,12.232,12.231,12.233,12.232,12.233,12.233,12.235,12.235,12.235,12.234,12.234,12.234,12.234,12.235,22.122,265.17,74.373,74.375,1.7548,6.3282,6.3262,0.002,312.38,6.1696,74.41
86,1,5,5,19,12,3.7357,74.372,74.376,74.38,12.263,12.241,12.232,12.229,12.228,12.229,12.228,12.227,12.227,12.228,12.229,12.229,12.229,12.23,12.23,12.231,12.232,12.232,12.231,12.23,12.23,21.476,265.09,74.386,74.39,3.8147,6.3148,6.3136,0.0012,312.45,6.1569,74.422
87,1,5,5,18,12,3.7663,74.391,74.389,74.39,12.412,12.39,12.379,12.375,12.374,12.374,12.373,12.374,12.373,12.375,12.397,12.376,12.375,12.376,12.376,12.378,12.378,12.377,12.376,12.377,12.378,21.563,265.06,74.423,74.401,22.507,6.3513,6.3494,0.0019,312.47,6.1943,74.448
88,1,5,5,17,12,3.7418,74.425,74.424,74.428,12.892,12.87,12.86,12.858,12.854,12.855,12.853,12.854,12.854,12.856,12.856,12.857,12.857,12.857,12.859,12.857,12.859,12.858,12.856,12.856,12.857,21.761,264.93,74.419,74.439,19.455,6.4809,6.4794,0.0016,312.28,6.325,74.47
89,1,5,5,16,12,3.6886,74.47,74.474,74.473,12.738,12.714,12.704,12.7,12.698,12.697,12.698,12.698,12.697,12.698,12.698,12.7,12.7,12.7,12.7,12.701,12.701,12.702,12.702,12.699,12.701,24.173,264.96,74.517,74.5,16.571,6.4744,6.4723,0.0021,312.33,6.3184,74.518
90,1,5,5,15,12,3.871,74.557,74.556,74.558,12.529,12.508,12.5,12.495,12.493,12.493,12.493,12.495,12.494,12.494,12.495,12.495,12.496,12.496,12.497,12.498,12.497,12.497,12.497,12.497,12.499,21.338,264.73,74.588,74.578,9.613,6.4165,6.4143,0.0022,312.22,6.26,74.605
91,1,5,5,14,12,3.7992,74.71,74.717,74.711,12.897,12.876,12.867,12.865,12.864,12.865,12.867,12.866,12.866,12.865,12.867,12.868,12.866,12.868,12.869,12.867,12.868,12.869,12.871,12.87,12.869,21.629,264.57,74.719,74.778,58.823,6.5162,6.5144,0.0017,311.96,6.3611,74.761
92,1,5,5,13,12,3.7946,74.905,74.905,74.909,12.592,12.571,12.562,12.558,12.558,12.557,12.557,12.557,12.559,12.559,12.558,12.559,12.56,12.56,12.56,12.562,12.56,12.561,12.562,12.561,12.561,21.299,264.62,74.884,74.895,11.292,6.4236,6.422,0.0016,312.05,6.2686,74.97
93,1,5,5,12,12,3.7401,75.084,75.095,75.086,13,12.976,12.964,12.96,12.959,12.96,12.957,12.959,12.959,12.959,12.959,12.96,12.96,12.96,12.963,12.962,12.963,12.963,12.962,12.961,12.961,23.982,265,75.053,75.146,92.85,6.5157,6.514,0.0017,312.5,6.3604,75.136
94,1,5,5,11,12,3.7631,74.946,74.948,74.952,12.561,12.54,12.532,12.528,12.525,12.524,12.525,12.526,12.527,12.526,12.525,12.527,12.529,12.528,12.526,12.527,12.528,12.53,12.529,12.529,12.53,20.926,265.83,74.884,74.863,21.057,6.3308,6.3291,0.0016,313.4,6.1744,75.042
95,1,5,5,10,12,3.7888,74.102,74.108,74.11,11.542,11.549,11.518,11.513,11.514,11.511,11.511,11.512,11.514,11.513,11.514,11.514,11.515,11.514,11.514,11.515,11.516,11.516,11.536,11.516,11.516,7.0968,265.95,73.982,73.871,110.33,6.2252,6.2237,0.0016,313.57,6.0701,74.287
96,1,5,7,9,12,3.7875,70.68,70.685,70.689,54.262,100.01,91.048,94.927,88.645,72.423,78.731,77.103,100.01,100.01,73.233,82.593,77.159,68.182,91.397,90.69,93.047,10.155,63.384,66.416,18.595,45744.71,265.91,70.535,70.22,315.41,6.4194,6.4169,0.0025,313.36,6.2624,71.023
97,1,1,1,9,13,3.8029,73.717,73.724,73.726,11.678,11.673,11.63,11.627,11.624,11.625,11.625,11.625,11.632,11.625,11.627,11.626,11.626,11.628,11.665,11.628,11.627,11.628,11.628,11.628,11.628,4.5657,265.4,73.588,73.463,124.91,6.3844,6.3831,0.0013,312.87,6.231,73.92
98,1,5,5,10,13,3.7691,74.929,74.926,74.936,12.006,11.985,11.976,11.972,11.971,11.972,11.972,11.971,11.972,11.972,11.972,11.973,11.972,11.975,11.975,11.974,11.975,11.974,11.976,11.974,11.974,21.244,265.55,74.859,74.83,28.534,6.2384,6.2366,0.0018,313.12,6.0858,75.022
99,1,5,5,11,13,3.7464,75.209,75.215,75.216,12.233,12.211,12.201,12.195,12.193,12.192,12.193,12.194,12.195,12.195,12.195,12.195,12.195,12.195,12.195,12.195,12.196,12.197,12.195,12.196,12.197,21.559,265.37,75.172,75.184,11.444,6.2472,6.2453,0.0019,312.87,6.0935,75.284
100,1,5,5,12,13,3.7649,75.055,75.061,75.063,12.56,12.537,12.528,12.525,12.523,12.523,12.523,12.523,12.523,12.524,12.523,12.523,12.525,12.526,12.526,12.526,12.526,12.526,12.526,12.526,12.527,22.837,264.95,75.076,75.062,13.809,6.3745,6.3725,0.002,312.34,6.2214,75.119
101,1,5,5,13,13,3.7746,74.814,74.811,74.817,12.555,12.533,12.523,12.521,12.521,12.52,12.519,12.52,12.521,12.521,12.52,12.521,12.522,12.522,12.521,12.523,12.523,12.544,12.523,12.524,12.524,22.384,264.81,74.796,74.83,34.714,6.4003,6.3985,0.0018,312.16,6.247,74.866
102,1,5,5,14,13,3.7919,74.642,74.644,74.647,13.216,13.199,13.19,13.183,13.184,13.183,13.182,13.183,13.184,13.183,13.185,13.185,13.185,13.184,13.184,13.184,13.185,13.186,13.186,13.187,13.189,16.913,264.84,74.636,74.602,34.103,6.6514,6.6509,0.0005,312.12,6.498,74.686
103,1,5,5,15,13,3.7698,74.517,74.524,74.522,12.393,12.372,12.363,12.359,12.359,12.36,12.359,12.359,12.359,12.36,12.36,12.36,12.361,12.361,12.361,12.363,12.361,12.361,12.363,12.362,12.363,20.687,264.97,74.512,74.504,7.9422,6.3502,6.3483,0.0019,312.3,6.1966,74.584
104,1,5,5,16,13,3.7678,74.444,74.444,74.448,12.361,12.337,12.328,12.325,12.325,12.322,12.323,12.323,12.323,12.324,12.325,12.325,12.325,12.326,12.327,12.325,12.326,12.328,12.327,12.327,12.326,23.959,265.12,74.431,74.411,19.913,6.3093,6.3072,0.002,312.47,6.157,74.523
105,1,5,5,17,13,3.7807,74.408,74.413,74.413,12.285,12.264,12.253,12.249,12.246,12.245,12.244,12.245,12.245,12.246,12.245,12.246,12.247,12.246,12.248,12.247,12.247,12.247,12.248,12.249,12.249,21.918,265.29,74.398,74.391,6.7139,6.2852,6.2834,0.0018,312.7,6.1331,74.484
106,1,5,5,18,13,3.96,74.365,74.364,74.368,12.262,12.242,12.229,12.224,12.223,12.224,12.224,12.223,12.224,12.224,12.224,12.224,12.225,12.226,12.226,12.226,12.226,12.227,12.227,12.227,12.226,20.189,265.39,74.374,74.371,2.8229,6.278,6.276,0.002,312.72,6.1263,74.426
107,1,5,5,19,13,3.7588,74.331,74.334,74.336,12.151,12.129,12.119,12.114,12.112,12.112,12.111,12.112,12.113,12.114,12.114,12.114,12.114,12.114,12.114,12.115,12.114,12.116,12.116,12.116,12.114,22.129,265.34,74.322,74.332,10.071,6.2596,6.2582,0.0014,312.62,6.1082,74.38
108,1,5,5,20,13,3.7463,74.32,74.324,74.326,12.154,12.129,12.119,12.115,12.112,12.112,12.112,12.113,12.113,12.113,12.115,12.115,12.114,12.113,12.114,12.115,12.115,12.115,12.115,12.115,12.116,24.313,265.39,74.312,74.342,29.984,6.2613,6.2594,0.0019,312.65,6.1094,74.374
109,1,5,5,21,13,3.7134,74.326,74.328,74.331,12.192,12.168,12.158,12.154,12.151,12.152,12.152,12.151,12.152,12.153,12.152,12.151,12.153,12.153,12.153,12.153,12.154,12.154,12.156,12.155,12.154,23.646,265.21,74.32,74.348,28.152,6.2845,6.2826,0.0019,312.51,6.1325,74.381
110,1,5,5,22,13,3.7014,74.336,74.338,74.339,12.207,12.185,12.175,12.171,12.169,12.169,12.169,12.168,12.168,12.169,12.171,12.17,12.17,12.17,12.172,12.171,12.171,12.171,12.172,12.171,12.171,22.354,265.22,74.331,74.346,14.954,6.2964,6.2942,0.0022,312.51,6.146,74.405
111,1,5,5,23,13,3.7414,74.357,74.362,74.362,12.232,12.21,12.2,12.196,12.193,12.192,12.192,12.192,12.192,12.192,12.193,12.195,12.194,12.193,12.195,12.194,12.194,12.195,12.196,12.196,12.196,22.041,265.17,74.37,74.375,4.1199,6.3065,6.3043,0.0022,312.47,6.1561,74.434
112,1,5,5,24,13,3.7234,74.374,74.378,74.376,12.257,12.234,12.224,12.22,12.219,12.218,12.219,12.22,12.219,12.219,12.22,12.221,12.221,12.222,12.222,12.222,12.222,12.222,12.221,12.224,12.223,23.378,265.18,74.364,74.382,17.548,6.3197,6.3179,0.0018,312.52,6.1686,74.448
113,1,5,5,25,13,3.7038,74.446,74.451,74.454,12.342,12.32,12.312,12.309,12.306,12.306,12.307,12.307,12.307,12.308,12.308,12.309,12.309,12.311,12.31,12.309,12.308,12.309,12.311,12.311,12.31,21.967,264.99,74.423,74.497,74.165,6.3614,6.3593,0.0021,312.36,6.2115,74.523
114,1,5,5,26,13,3.7562,74.582,74.583,74.586,12.356,12.334,12.325,12.321,12.321,12.323,12.321,12.322,12.323,12.324,12.325,12.323,12.324,12.326,12.326,12.325,12.326,12.326,12.326,12.327,12.326,21.731,264.98,74.543,74.557,13.657,6.3723,6.3704,0.0019,312.27,6.2225,74.666
115,1,5,5,27,13,3.7498,74.799,74.801,74.799,12.359,12.336,12.327,12.324,12.324,12.324,12.323,12.324,12.326,12.325,12.324,12.325,12.326,12.327,12.327,12.327,12.328,12.327,12.328,12.328,12.327,22.971,264.9,74.763,74.799,36.697,6.3695,6.3676,0.002,312.2,6.2187,74.87
116,1,5,5,28,13,3.7286,74.996,74.998,75.003,12.289,12.266,12.256,12.252,12.25,12.249,12.25,12.249,12.249,12.25,12.25,12.251,12.252,12.252,12.252,12.251,12.251,12.251,12.252,12.253,12.253,22.785,265.17,75.007,75.022,14.442,6.3199,6.3179,0.002,312.58,6.1707,75.049
117,1,5,5,29,13,3.7765,74.873,74.876,74.879,12.109,12.088,12.076,12.072,12.07,12.071,12.07,12.07,12.071,12.071,12.07,12.072,12.073,12.072,12.072,12.072,12.072,12.074,12.074,12.074,12.075,21.149,265.42,74.809,74.781,28.763,6.2882,6.2862,0.002,312.81,6.1386,74.965
118,1,1,1,30,13,3.7287,73.755,73.761,73.763,11.616,11.596,11.584,11.577,11.575,11.573,11.573,11.572,11.573,11.574,11.597,11.573,11.574,11.575,11.574,11.579,11.575,11.574,11.574,11.575,11.576,19.838,265.35,73.637,73.513,124.53,6.3613,6.3592,0.0021,312.95,6.2118,73.952
119,1,1,1,31,14,3.7307,72.543,72.55,72.551,11.01,10.992,11.143,10.98,10.979,77.119,24.864,10.984,11.076,11.151,10.981,10.981,10.981,11.041,10.981,10.982,11.107,11.059,10.981,10.982,10.983,18.016,265.63,72.409,72.235,173.72,6.3685,6.3665,0.002,313.13,6.2196,72.796
120,1,5,5,30,14,3.8278,74.478,74.482,74.486,11.791,11.769,11.757,11.752,11.748,11.746,11.745,11.746,11.746,11.746,11.746,11.747,11.747,11.747,11.747,11.747,11.749,11.749,11.749,11.748,11.748,22.417,265.93,74.391,74.364,27.313,6.224,6.2219,0.0021,313.53,6.0748,74.625
121,1,5,5,29,14,3.8034,75.028,75.034,75.038,12.169,12.15,12.139,12.134,12.131,12.13,12.13,12.131,12.131,12.131,12.132,12.131,12.132,12.133,12.133,12.131,12.133,12.134,12.134,12.133,12.134,19.861,265.54,75.054,75.024,29.984,6.2505,6.2487,0.0018,312.9,6.1016,75.079
122,1,5,5,28,14,3.7654,74.936,74.945,74.945,12.231,12.21,12.199,12.195,12.193,12.193,12.193,12.194,12.193,12.194,12.194,12.194,12.194,12.195,12.195,12.196,12.196,12.197,12.198,12.198,12.197,20.972,265.34,74.91,74.914,4.5013,6.2811,6.2795,0.0016,312.9,6.1329,75.003
123,1,5,5,27,14,3.7541,74.748,74.753,74.754,12.326,12.303,12.294,12.292,12.291,12.292,12.292,12.292,12.293,12.294,12.293,12.295,12.294,12.294,12.295,12.295,12.295,12.295,12.296,12.295,12.296,22.816,265.07,74.712,74.769,56.763,6.3389,6.3373,0.0016,312.38,6.1915,74.817
124,1,5,5,26,14,3.7655,74.607,74.604,74.615,12.294,12.272,12.264,12.261,12.258,12.258,12.26,12.26,12.261,12.26,12.261,12.261,12.262,12.263,12.263,12.262,12.264,12.264,12.263,12.263,12.263,22.002,265.18,74.581,74.597,15.564,6.3191,6.3174,0.0017,312.43,6.172,74.683
125,1,5,5,25,14,3.7161,74.508,74.511,74.511,12.197,12.174,12.165,12.161,12.161,12.16,12.16,12.161,12.162,12.161,12.161,12.161,12.161,12.163,12.163,12.163,12.162,12.164,12.163,12.163,12.164,23.359,265.26,74.483,74.485,2.1362,6.2846,6.2829,0.0017,312.55,6.1357,74.588
126,1,5,5,24,14,3.7076,74.455,74.455,74.459,12.122,12.1,12.09,12.086,12.083,12.082,12.082,12.082,12.082,12.083,12.084,12.084,12.084,12.084,12.083,12.086,12.085,12.085,12.085,12.086,12.086,21.95,265.42,74.429,74.443,13.275,6.2409,6.2381,0.0027,312.78,6.0921,74.527
127,1,5,5,23,14,3.8382,74.395,74.4,74.399,12.115,12.092,12.081,12.077,12.076,12.074,12.074,12.074,12.073,12.074,12.075,12.076,12.076,12.075,12.076,12.076,12.076,12.076,12.099,12.078,12.076,22.662,265.34,74.386,74.41,24.185,6.2479,6.2456,0.0023,312.63,6.1013,74.468
128,1,5,5,22,14,3.9258,74.337,74.338,74.341,12.042,12.021,12.009,12.004,12.002,12.002,12.002,12.002,12.002,12.002,12.003,12.002,12.002,12.003,12.005,12.004,12.004,12.004,12.005,12.005,12.005,20.838,265.52,74.318,74.331,12.589,6.2112,6.2086,0.0025,312.83,6.0625,74.412
129,1,5,5,21,14,4.0709,74.28,74.283,74.28,12.019,11.997,11.985,11.979,11.977,11.978,11.977,11.977,11.978,11.978,11.979,11.978,11.979,11.979,11.979,11.979,11.979,11.979,11.981,11.982,11.982,22.013,265.62,74.253,74.291,37.155,6.1928,6.1907,0.0021,312.98,6.0468,74.333
130,1,5,5,20,14,4.104,74.254,74.255,74.253,11.998,11.978,11.967,11.961,11.958,11.959,11.958,11.957,11.957,11.958,11.959,11.96,11.959,11.959,11.96,11.96,11.961,11.96,11.961,11.962,11.96,20.71,265.75,74.247,74.33,83.313,6.1787,6.1758,0.0029,313.08,6.0325,74.299
131,1,5,5,19,14,4.061,74.275,74.277,74.28,12.058,12.035,12.023,12.018,12.016,12.017,12.017,12.015,12.016,12.016,12.017,12.018,12.019,12.019,12.019,12.018,12.018,12.019,12.019,12.019,12.019,22.845,265.63,74.284,74.292,8.3923,6.1976,6.1958,0.0018,312.99,6.0512,74.318
132,1,5,5,18,14,3.9303,74.357,74.358,74.359,12.116,12.095,12.085,12.082,12.08,12.079,12.079,12.078,12.08,12.08,12.08,12.079,12.082,12.082,12.081,12.08,12.081,12.082,12.082,12.083,12.083,21.61,265.72,74.362,74.382,19.608,6.1855,6.1839,0.0016,313.04,6.0395,74.402
133,1,5,5,17,14,3.9133,74.446,74.453,74.443,12.125,12.104,12.093,12.088,12.087,12.087,12.087,12.086,12.087,12.088,12.089,12.088,12.089,12.09,12.09,12.088,12.088,12.09,12.09,12.089,12.09,20.786,265.68,74.431,74.452,21.286,6.2004,6.1984,0.002,313.07,6.0555,74.493
134,1,5,5,16,14,3.8841,74.545,74.544,74.548,12.141,12.12,12.109,12.104,12.102,12.102,12.101,12.1,12.1,12.1,12.101,12.101,12.101,12.102,12.103,12.104,12.104,12.103,12.104,12.104,12.104,21.667,265.53,74.502,74.605,103.61,6.2018,6.1998,0.002,313.03,6.0569,74.611
135,1,5,5,15,14,3.7877,74.597,74.605,74.596,12.277,12.254,12.242,12.236,12.234,12.232,12.231,12.23,12.231,12.231,12.231,12.232,12.232,12.233,12.232,12.234,12.235,12.235,12.234,12.234,12.234,23.381,265.23,74.565,74.554,10.91,6.2858,6.2838,0.002,312.78,6.1406,74.686
136,1,5,5,14,14,3.8598,74.702,74.711,74.712,12.325,12.306,12.298,12.294,12.292,12.292,12.292,12.293,12.293,12.294,12.294,12.295,12.295,12.295,12.295,12.295,12.296,12.296,12.296,12.297,12.297,19.391,265.09,74.689,74.655,34.042,6.2932,6.292,0.0012,312.44,6.1494,74.776
137,1,5,5,13,14,3.8279,74.841,74.837,74.842,12.381,12.359,12.351,12.347,12.345,12.346,12.346,12.347,12.345,12.347,12.348,12.349,12.348,12.348,12.349,12.35,12.35,12.348,12.348,12.349,12.351,21.641,265.02,74.815,74.784,30.594,6.313,6.3116,0.0014,312.59,6.1677,74.892
138,1,5,5,12,14,3.8673,75.02,75.023,75.021,12.414,12.391,12.381,12.376,12.375,12.374,12.375,12.375,12.374,12.374,12.376,12.376,12.376,12.376,12.377,12.378,12.377,12.378,12.378,12.379,12.377,22.264,265.06,75.024,75.058,33.493,6.3136,6.3117,0.0019,312.53,6.1682,75.081
