Tester ID/Tester Station:RGT-3120
Computer Name           :DESKTOP-USUQBTQ
Handler/Prober Name     :UF2000
Temperature: 023.8C
Production ID           :JBS LLD 71V
Test Program Name       :C:\POWORLD\RGT.Net\Recipes\LLD_71V_Eng_Run_04302026.TestPg
Device Name             :JBS LLD 71V
Lot ID                  :N64S03A03
Wafer ID                :N64S03A03
Probe Card No           :11-02626B
Load Board No           :CP5
SFT                     :
OPERATOR                :A000697
Test Start Date         :Wed May 13 12:03:20 2026
Test End Date           :Wed May 13 12:16:48 2026
Fail Retest Rate        :
Sequence All ON         :ON
PreLoad Pat(Time)       :
Craft Current User      :
Craft Version           :
OutPut TDO              :C:\DataLog\Report\LLD_71V_Eng_Run_04302026\N64S03A_OD75um
Run Card No             :N64S03A_OD75um
Rom Code                :



 Sample   Pass   Pass%   Fail   Fail%
    549     28     5.1    521    94.9

,,,,,,Contact2[Step1],VZ[Step2],VZ[Step3],VZ[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],Calculate[Step4],VFSDS[Step5],VZ[Step6],VZ[Step6],Calculate[Step6],IR[Step7],IR[Step7],Calculate[Step7],VFSDS[Step8],IR[Step9],VZ[Step10]
57,1,5,5,12,11,3.9613,75.171,75.174,75.176,12.145,12.124,12.114,12.11,12.108,12.106,12.105,12.107,12.107,12.106,12.106,12.105,12.107,12.107,12.107,12.107,12.106,12.106,12.108,12.108,12.107,21.097,265.43,75.117,75.133,15.64,6.2641,6.2624,0.0016,312.96,6.1167,75.275
58,1,5,5,13,11,3.8486,75.317,75.305,75.314,12.45,12.426,12.416,12.41,12.408,12.406,12.407,12.407,12.407,12.406,12.407,12.407,12.408,12.408,12.408,12.407,12.407,12.408,12.41,12.41,12.409,23.781,264.93,75.312,75.367,55.161,6.3471,6.3456,0.0015,312.35,6.1997,75.379
59,1,5,5,14,11,3.8528,75.221,75.221,75.227,12.607,12.585,12.574,12.57,12.569,12.569,12.569,12.569,12.568,12.57,12.571,12.572,12.571,12.571,12.571,12.571,12.571,12.572,12.572,12.572,12.572,22.182,264.53,75.212,75.302,89.569,6.428,6.426,0.002,311.9,6.2792,75.276
60,1,5,5,15,11,3.7904,75.096,75.103,75.103,12.714,12.69,12.679,12.674,12.673,12.671,12.67,12.671,12.673,12.671,12.673,12.674,12.674,12.674,12.674,12.674,12.675,12.675,12.674,12.675,12.675,24.207,264.28,75.085,75.092,6.7139,6.4884,6.4865,0.002,311.6,6.3398,75.162
61,1,5,5,16,11,3.8402,75.016,75.022,75.024,12.661,12.635,12.621,12.616,12.613,12.613,12.612,12.611,12.61,12.609,12.61,12.612,12.612,12.613,12.612,12.613,12.614,12.614,12.613,12.612,12.613,25.891,264.53,74.998,75.026,28.099,6.4497,6.4484,0.0013,311.81,6.302,75.085
62,1,5,5,17,11,3.8171,74.967,74.967,74.966,12.645,12.621,12.608,12.601,12.6,12.599,12.598,12.598,12.598,12.598,12.598,12.6,12.599,12.599,12.6,12.6,12.601,12.602,12.601,12.6,12.6,24.344,264.52,74.945,74.977,31.281,6.4502,6.4481,0.0021,311.83,6.3027,75.024
63,1,5,5,18,11,4.0121,74.959,74.956,74.963,13.265,13.244,13.232,13.227,13.226,13.226,13.227,13.225,13.227,13.226,13.228,13.229,13.229,13.229,13.229,13.228,13.228,13.23,13.231,13.231,13.231,21.266,264.4,74.938,74.955,16.861,6.5737,6.5714,0.0022,311.72,6.4076,75.011
64,1,5,5,19,11,3.9172,74.974,74.974,74.969,16.092,16.073,16.064,16.059,16.057,16.055,16.056,16.053,16.054,16.052,16.053,16.053,16.06,16.06,16.053,16.052,16.062,16.057,16.055,16.053,16.051,19.138,264.3,74.956,75.014,57.411,7.3715,7.3708,0.0007,311.55,7.2103,75.019
65,1,5,5,20,11,3.935,74.98,74.982,74.984,13.062,13.036,13.026,13.023,13.021,13.019,13.018,13.017,13.018,13.02,13.022,13.02,13.01,13.017,13.023,13.023,13.023,13.023,13.026,13.024,13.023,26.115,264.48,74.967,74.973,5.722,6.5323,6.5308,0.0015,311.78,6.3725,75.034
66,1,5,5,21,11,3.9034,75.012,75.014,75.016,14.011,13.986,13.974,13.969,13.969,13.972,13.971,13.972,13.972,13.973,13.974,13.973,13.973,13.97,13.971,13.972,13.971,13.973,13.973,13.973,13.973,25.403,264.41,74.992,75.007,15.06,6.8201,6.8185,0.0015,311.79,6.6614,75.062
67,1,5,5,22,11,3.8968,75.031,75.032,75.039,21.321,21.28,21.28,21.274,21.274,21.266,21.253,21.267,21.258,21.255,21.264,21.267,21.272,21.269,21.263,21.262,21.275,21.263,21.27,21.27,21.274,41.018,264.42,75.011,75.065,53.711,8.9447,8.9424,0.0022,311.65,8.7918,75.102
68,1,5,5,23,11,3.9339,75.092,75.091,75.093,12.93,12.905,12.892,12.889,12.886,12.885,12.885,12.886,12.887,12.887,12.886,12.886,12.888,12.889,12.889,12.888,12.888,12.888,12.887,12.888,12.889,25.072,264.31,75.061,75.07,8.316,6.5153,6.5134,0.0019,311.63,6.358,75.168
69,1,5,5,24,11,4.0657,75.207,75.203,75.208,14.057,14.034,14.022,14.021,14.013,14.007,14.009,14.004,14.003,14.004,14.001,14,14.007,14.004,14.005,14.008,14.009,14.006,14.006,14.005,14.008,23.783,264.46,75.164,75.158,5.9509,6.9906,6.9875,0.0031,311.78,6.8349,75.274
70,1,5,5,25,11,4.094,75.36,75.362,75.358,15.373,15.346,15.328,15.325,15.322,15.314,15.316,15.324,15.319,15.319,15.316,15.319,15.318,15.318,15.323,15.322,15.325,15.325,15.325,15.327,15.322,26.659,264.4,75.295,75.292,2.8992,7.1647,7.1625,0.0022,311.94,7.0095,75.42
71,1,5,5,26,11,4.0057,75.472,75.474,75.473,13.022,12.997,12.984,12.979,12.979,12.978,12.978,12.977,12.977,12.977,12.978,12.979,12.978,12.979,12.979,12.979,12.981,12.98,12.979,12.98,12.98,25.112,264.39,75.467,75.523,56.313,6.5296,6.5277,0.0019,311.78,6.3751,75.529
72,1,5,5,27,11,4.0135,75.433,75.421,75.424,13.341,13.319,13.306,13.299,13.297,13.298,13.297,13.297,13.297,13.297,13.299,13.298,13.293,13.287,13.288,13.288,13.29,13.29,13.289,13.289,13.289,22.038,264.45,75.368,75.331,36.697,6.6414,6.6398,0.0016,311.87,6.4876,75.517
73,1,5,5,28,11,4.0412,74.761,74.766,74.767,12.514,12.493,12.484,12.509,12.475,12.497,12.539,12.476,12.476,12.5,12.479,12.48,12.495,12.477,12.509,12.511,12.478,12.503,12.479,12.48,12.564,20.131,264.87,74.636,74.559,77.057,6.5147,6.5134,0.0013,312.23,6.363,74.928
74,1,5,6,29,11,4.0541,72.465,72.469,72.47,96.604,99.101,100.01,98.185,88.848,100.01,93.984,76.904,95.17,89.264,100.01,75.99,56.58,77.094,100.01,99.854,96.598,90.754,76.004,100.01,98.915,2497.82,264.9,72.297,72.061,235.86,6.6044,6.6022,0.0022,312.29,6.4496,72.769
75,1,5,9,30,12,4.0602,71.741,71.744,71.747,79.07,73.146,70.302,100.01,83.345,100.01,100.01,16.907,76.06,74.388,99.817,93.997,59.526,100.01,40.138,64.84,100.01,64.772,82.563,71.33,16.878,5923.68,265.34,71.578,71.292,286.19,9.2874,9.2846,0.0027,312.76,9.156,72.071
76,1,5,5,29,12,3.9406,74.73,74.737,74.738,12.09,12.072,12.065,12.061,12.06,12.059,12.06,12.061,12.062,12.062,12.062,12.062,12.062,12.062,12.063,12.063,12.062,12.063,12.064,12.064,12.063,18.186,265.06,74.604,74.515,89.577,6.4006,6.3995,0.0011,312.49,6.2496,74.902
77,1,5,5,28,12,3.961,75.486,75.492,75.488,15.079,15.056,15.045,15.046,15.04,15.037,15.042,15.047,15.042,15.048,15.043,15.052,15.057,15.042,15.043,15.044,15.039,15.041,15.04,15.042,15.049,22.496,264.84,75.436,75.418,17.166,7.0971,7.0965,0.0006,312.38,6.9464,75.573
78,1,5,5,27,12,3.8972,75.479,75.487,75.488,15.186,15.16,15.152,15.15,15.146,15.14,15.139,15.144,15.147,15.148,15.146,15.152,15.148,15.145,15.142,15.146,15.148,15.145,15.146,15.146,15.146,26.076,264.51,75.478,75.48,2.449,7.0626,7.0612,0.0014,311.84,6.912,75.542
79,1,5,5,26,12,3.9316,75.287,75.291,75.291,12.931,12.907,12.897,12.895,12.894,12.893,12.894,12.895,12.896,12.896,12.895,12.897,12.898,12.896,12.897,12.898,12.898,12.898,12.9,12.897,12.897,24.325,264.34,75.258,75.261,3.3569,6.5292,6.5275,0.0017,311.63,6.3812,75.357
80,1,5,5,25,12,3.9349,75.114,75.114,75.116,12.74,12.718,12.709,12.705,12.705,12.703,12.704,12.705,12.707,12.707,12.707,12.706,12.707,12.708,12.708,12.708,12.709,12.71,12.707,12.708,12.709,22.142,264.42,75.075,75.149,74.005,6.4952,6.4932,0.002,311.75,6.3452,75.176
81,1,5,5,24,12,3.8898,74.992,74.998,74.994,15.42,15.393,15.38,15.374,15.373,15.372,15.372,15.379,15.385,15.373,15.376,15.372,15.377,15.376,15.378,15.38,15.384,15.382,15.384,15.381,15.378,27.338,264.51,74.978,74.981,2.5177,7.0871,7.085,0.0021,311.8,6.9371,75.047
82,1,5,5,23,12,4.197,74.928,74.933,74.93,12.932,12.907,12.896,12.892,12.889,12.887,12.889,12.891,12.889,12.889,12.89,12.891,12.889,12.891,12.892,12.891,12.892,12.892,12.891,12.891,12.891,24.988,264.77,74.967,75.026,59.235,6.4705,6.4684,0.0021,312.21,6.3227,74.98
83,1,5,5,22,12,3.9182,74.898,74.902,74.905,16.678,16.652,16.642,16.64,16.639,16.638,16.633,16.634,16.637,16.64,16.638,16.641,16.646,16.647,16.648,16.643,16.645,16.644,16.642,16.642,16.641,26.43,264.69,74.901,74.964,62.195,7.5727,7.5713,0.0014,311.98,7.4228,74.95
84,1,5,5,21,12,3.897,74.884,74.885,74.883,20.734,20.684,20.663,20.668,20.675,20.667,20.672,20.67,20.665,20.673,20.688,20.677,20.68,20.686,20.678,20.677,20.682,20.685,20.69,20.687,20.698,50.804,264.75,74.88,74.9,19.455,9.0417,9.041,0.0007,312.05,8.9069,74.939
85,1,5,5,20,12,3.8513,74.841,74.844,74.847,13.826,13.803,13.794,13.786,13.783,13.781,13.783,13.782,13.784,13.783,13.785,13.784,13.784,13.783,13.785,13.785,13.786,13.785,13.785,13.787,13.787,23.304,264.88,74.845,74.843,1.9073,6.6493,6.6466,0.0027,312.08,6.5009,74.907
86,1,5,5,19,12,3.907,74.837,74.838,74.841,13.503,13.479,13.468,13.463,13.461,13.459,13.459,13.46,13.46,13.459,13.459,13.46,13.459,13.461,13.461,13.462,13.461,13.461,13.462,13.462,13.46,24.805,264.91,74.832,74.865,32.425,6.6738,6.6723,0.0015,312.18,6.526,74.888
87,1,5,5,18,12,3.8222,74.816,74.82,74.822,12.99,12.965,12.953,12.949,12.948,12.95,12.948,12.948,12.948,12.949,12.948,12.951,12.95,12.95,12.949,12.952,12.952,12.951,12.951,12.951,12.952,24.25,264.82,74.812,74.824,11.978,6.4751,6.4736,0.0015,312.07,6.3291,74.88
88,1,5,5,17,12,3.8573,74.814,74.82,74.821,12.527,12.504,12.493,12.487,12.484,12.484,12.484,12.485,12.484,12.483,12.485,12.485,12.486,12.486,12.486,12.487,12.486,12.486,12.487,12.487,12.487,23.319,264.79,74.825,74.883,58.441,6.3872,6.3853,0.0018,312.13,6.2392,74.873
89,1,5,5,16,12,3.7807,74.836,74.838,74.836,12.549,12.526,12.515,12.51,12.507,12.506,12.505,12.506,12.505,12.506,12.506,12.507,12.508,12.506,12.507,12.508,12.508,12.508,12.509,12.509,12.508,23.708,264.78,74.856,74.843,13.428,6.3966,6.3948,0.0017,312.15,6.2502,74.88
90,1,5,5,15,12,3.9215,74.886,74.889,74.891,12.518,12.495,12.483,12.479,12.477,12.476,12.477,12.478,12.476,12.478,12.478,12.478,12.478,12.479,12.479,12.479,12.48,12.48,12.48,12.479,12.479,23.284,264.88,74.901,74.916,14.496,6.3766,6.375,0.0016,312.44,6.2309,74.929
91,1,5,5,14,12,3.8703,75.005,75.009,75.011,12.519,12.496,12.486,12.483,12.483,12.482,12.483,12.483,12.483,12.483,12.483,12.484,12.484,12.485,12.486,12.485,12.484,12.484,12.485,12.486,12.486,23.097,264.81,75.007,75.031,23.979,6.378,6.3764,0.0016,312.19,6.233,75.049
92,1,5,5,13,12,3.9259,75.162,75.168,75.167,12.515,12.493,12.483,12.479,12.477,12.477,12.478,12.478,12.477,12.478,12.479,12.48,12.478,12.479,12.479,12.479,12.48,12.482,12.479,12.481,12.482,22.033,264.79,75.163,75.193,29.907,6.3778,6.3756,0.0022,312.23,6.233,75.223
93,1,5,5,12,12,3.8596,75.327,75.328,75.333,12.39,12.369,12.356,12.351,12.349,12.348,12.349,12.35,12.348,12.348,12.35,12.351,12.349,12.35,12.351,12.351,12.35,12.35,12.351,12.351,12.352,20.59,265.18,75.294,75.329,35.858,6.309,6.3073,0.0017,312.6,6.164,75.387
94,1,5,5,11,12,3.8093,75.192,75.199,75.193,11.959,11.94,11.929,11.925,11.924,11.922,11.922,11.922,11.923,11.922,11.922,11.922,11.922,11.923,11.924,11.926,11.923,11.924,11.924,11.924,11.924,19.472,265.95,75.135,75.111,23.956,6.156,6.1543,0.0017,313.47,6.0119,75.294
95,1,5,5,10,12,3.7974,74.402,74.404,74.408,11.735,11.715,11.706,11.718,11.702,11.701,11.699,11.7,11.702,11.701,11.701,11.702,11.703,11.702,11.702,11.702,11.704,11.705,11.704,11.703,11.704,20.057,265.63,74.287,74.193,93.689,6.2898,6.2879,0.002,313.11,6.1456,74.578
96,1,5,6,9,12,3.9504,70.482,70.49,70.496,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,0,244.54,70.304,70.002,302.62,10.001,10.001,0,290.13,22.973,70.858
97,1,12,32,9,13,3.8981,73.978,73.971,73.982,42.023,41.869,41.813,41.79,41.776,41.77,41.768,41.767,41.766,41.765,41.765,41.766,41.767,41.766,41.764,41.765,41.765,41.766,41.767,41.773,41.766,154.03,248.17,73.855,73.732,123.69,10.001,10.001,0,294.2,18.112,74.138
98,1,5,5,10,13,3.9694,75.131,75.138,75.139,12.102,12.081,12.071,12.066,12.064,12.064,12.064,12.065,12.064,12.064,12.065,12.066,12.067,12.066,12.066,12.066,12.067,12.067,12.067,12.068,12.068,21.105,265.53,75.069,75.045,24.643,6.263,6.2611,0.0019,312.89,6.1191,75.218
99,1,5,5,11,13,3.8831,75.416,75.42,75.421,12.268,12.244,12.232,12.228,12.226,12.225,12.224,12.225,12.225,12.225,12.225,12.226,12.226,12.225,12.225,12.226,12.227,12.228,12.227,12.227,12.228,24.334,265.49,75.404,75.421,16.472,6.2321,6.2302,0.0019,312.9,6.0883,75.472
100,1,5,5,12,13,3.851,75.273,75.276,75.277,12.467,12.442,12.431,12.427,12.425,12.422,12.424,12.425,12.425,12.425,12.425,12.426,12.425,12.426,12.427,12.426,12.425,12.425,12.426,12.427,12.427,25.218,265.01,75.271,75.29,18.616,6.3332,6.3305,0.0027,312.33,6.1904,75.326
101,1,5,5,13,13,3.8313,75.053,75.055,75.057,12.519,12.493,12.483,12.48,12.48,12.479,12.479,12.479,12.48,12.481,12.48,12.481,12.481,12.481,12.48,12.482,12.483,12.482,12.482,12.483,12.483,26.363,264.76,75.058,75.035,22.583,6.3709,6.3693,0.0016,312.16,6.2282,75.106
102,1,5,5,14,13,3.8817,74.915,74.917,74.92,12.474,12.45,12.44,12.437,12.436,12.437,12.437,12.438,12.437,12.438,12.439,12.44,12.438,12.438,12.438,12.439,12.44,12.439,12.439,12.44,12.44,24.377,264.9,74.887,74.909,22.667,6.3486,6.3464,0.0022,312.25,6.2042,74.968
103,1,5,5,15,13,3.8061,74.821,74.82,74.822,12.423,12.401,12.393,12.389,12.388,12.387,12.387,12.386,12.386,12.387,12.388,12.388,12.387,12.388,12.39,12.39,12.39,12.39,12.39,12.391,12.39,21.631,264.96,74.801,74.789,12.131,6.3337,6.3322,0.0015,312.31,6.1905,74.891
104,1,5,5,16,13,3.8377,74.801,74.805,74.806,12.412,12.389,12.378,12.374,12.372,12.372,12.37,12.371,12.372,12.372,12.371,12.372,12.372,12.373,12.372,12.373,12.375,12.374,12.374,12.373,12.374,23.675,264.98,74.766,74.804,38.071,6.3258,6.3235,0.0023,312.31,6.1824,74.869
105,1,5,5,17,13,3.8532,74.781,74.788,74.788,12.366,12.342,12.331,12.327,12.323,12.322,12.322,12.322,12.322,12.323,12.323,12.323,12.323,12.322,12.324,12.324,12.323,12.324,12.324,12.325,12.324,23.547,265.1,74.754,74.776,21.439,6.3052,6.3034,0.0018,312.44,6.1645,74.851
106,1,5,5,18,13,3.8417,74.787,74.787,74.792,12.377,12.355,12.343,12.338,12.337,12.335,12.335,12.334,12.335,12.337,12.337,12.336,12.336,12.336,12.337,12.337,12.337,12.337,12.338,12.338,12.337,22.364,265.14,74.776,74.837,60.577,6.2972,6.2954,0.0018,312.44,6.1562,74.847
107,1,5,5,19,13,3.8379,74.781,74.786,74.788,12.834,12.807,12.799,12.793,12.791,12.79,12.791,12.792,12.79,12.792,12.794,12.794,12.793,12.794,12.793,12.794,12.793,12.793,12.793,12.794,12.796,26.123,265.16,74.783,74.809,25.787,6.4353,6.4338,0.0015,312.42,6.293,74.832
108,1,5,5,20,13,3.7905,74.81,74.813,74.813,13.169,13.145,13.135,13.127,13.124,13.123,13.121,13.121,13.121,13.122,13.124,13.125,13.127,13.127,13.125,13.125,13.125,13.127,13.126,13.126,13.126,23.664,265.11,74.826,74.854,27.542,6.4579,6.4562,0.0017,312.41,6.3155,74.868
109,1,5,5,21,13,3.7942,74.835,74.841,74.841,22.728,22.7,22.675,22.68,22.669,22.659,22.669,22.679,22.672,22.679,22.674,22.651,22.655,22.672,22.66,22.668,22.671,22.666,22.668,22.663,22.675,27.734,265.06,74.839,74.866,27.618,9.3814,9.3795,0.0019,312.32,9.262,74.897
110,1,5,5,22,13,3.8358,74.86,74.865,74.866,17.888,17.868,17.851,17.846,17.846,17.836,17.849,17.849,17.852,17.857,17.851,17.862,17.839,17.849,17.862,17.855,17.856,17.849,17.856,17.854,17.846,20.535,264.97,74.853,74.934,80.345,8.2599,8.2649,0.005,312.27,8.117,74.928
111,1,5,5,23,13,3.9308,74.891,74.894,74.892,19.774,19.753,19.742,19.731,19.744,19.728,19.722,19.734,19.716,19.73,19.726,19.735,19.759,19.747,19.742,19.725,19.727,19.715,19.724,19.755,19.749,20.913,264.78,74.878,74.924,45.242,8.1231,8.1174,0.0057,312.08,7.9829,74.962
112,1,5,5,24,13,4.0046,74.935,74.941,74.94,16.799,16.774,16.762,16.756,16.756,16.757,16.756,16.752,16.756,16.758,16.758,16.758,16.759,16.76,16.756,16.758,16.756,16.753,16.756,16.754,16.753,25.215,264.76,74.925,74.943,18.234,7.4048,7.4044,0.0004,311.96,7.2642,75.009
113,1,5,5,25,13,3.93,75.01,75.009,75.013,12.696,12.671,12.659,12.657,12.656,12.656,12.655,12.656,12.657,12.658,12.658,12.657,12.656,12.658,12.658,12.659,12.659,12.66,12.659,12.66,12.661,24.864,264.51,74.994,75.069,74.867,6.4548,6.4528,0.0021,311.87,6.3124,75.079
114,1,5,5,26,13,4.1192,75.153,75.154,75.155,17.099,17.074,17.063,17.063,17.065,17.067,17.062,17.06,17.063,17.064,17.065,17.079,17.072,17.078,17.072,17.065,17.067,17.062,17.07,17.068,17.068,25.386,264.49,75.128,75.183,54.855,7.6369,7.6343,0.0026,311.75,7.4952,75.222
115,1,5,5,27,13,3.8715,75.383,75.385,75.383,15.992,15.968,15.959,15.952,15.948,15.95,15.936,15.94,15.936,15.934,15.938,15.936,15.935,15.94,15.938,15.946,15.943,15.953,15.957,15.946,15.955,23.629,264.47,75.353,75.363,9.9182,7.3832,7.3805,0.0027,311.79,7.2431,75.452
116,1,5,5,28,13,3.9316,75.587,75.592,75.594,13.412,13.386,13.376,13.37,13.369,13.367,13.37,13.371,13.367,13.367,13.367,13.368,13.368,13.368,13.368,13.369,13.369,13.37,13.369,13.373,13.374,25.287,264.76,75.583,75.607,24.185,6.5818,6.5794,0.0023,312.26,6.4403,75.652
117,1,5,5,29,13,3.9101,75.435,75.442,75.45,13.474,13.452,13.44,13.435,13.429,13.427,13.427,13.427,13.427,13.425,13.431,13.429,13.429,13.425,13.427,13.429,13.43,13.43,13.431,13.431,13.433,22.259,265.07,75.364,75.35,13.885,6.6269,6.6244,0.0025,312.38,6.4844,75.531
118,1,5,5,30,13,3.8913,74.319,74.328,74.327,13.133,13.111,13.116,13.09,13.088,13.085,13.086,13.086,13.085,13.084,13.082,13.082,13.087,13.084,13.108,13.101,13.084,13.087,13.085,13.085,13.085,22.416,265.24,74.186,74.073,112.23,6.761,6.7596,0.0014,312.83,6.6201,74.512
119,1,1,1,31,14,3.8676,73.11,73.116,73.119,12.401,12.32,12.307,12.366,12.298,12.297,12.298,12.296,12.296,12.296,12.299,12.298,12.361,12.294,12.297,12.298,12.296,12.297,12.298,12.299,12.299,80.758,264.89,72.961,72.778,183.11,6.8206,6.8186,0.0019,312.21,6.6786,73.366
120,1,5,5,30,14,3.7862,75.056,75.061,75.062,13.083,13.059,13.044,13.039,13.036,13.034,13.034,13.033,13.031,13.033,13.035,13.035,13.034,13.033,13.035,13.034,13.033,13.035,13.036,13.036,13.035,23.916,265.17,74.975,74.949,25.795,6.5832,6.5809,0.0023,312.69,6.4423,75.2
121,1,5,5,29,14,3.8356,75.6,75.605,75.606,15.5,15.479,15.463,15.459,15.457,15.455,15.451,15.452,15.461,15.456,15.455,15.458,15.456,15.46,15.46,15.456,15.462,15.462,15.461,15.462,15.488,21.259,264.96,75.633,75.593,39.368,7.247,7.2452,0.0017,312.3,7.1057,75.644
122,1,5,5,28,14,3.8577,75.516,75.515,75.515,14.067,14.038,14.029,14.026,14.024,14.023,14.024,14.024,14.028,14.028,14.028,14.026,14.028,14.027,14.028,14.027,14.028,14.026,14.028,14.028,14.03,29.195,264.83,75.485,75.494,9.1629,6.6867,6.685,0.0017,312.29,6.5469,75.579
123,1,5,5,27,14,3.7617,75.304,75.308,75.308,19.681,19.661,19.64,19.628,19.643,19.63,19.646,19.635,19.635,19.639,19.631,19.627,19.635,19.638,19.665,19.633,19.644,19.643,19.638,19.645,19.649,20.042,264.5,75.269,75.291,21.896,8.5021,8.5025,0.0004,311.85,8.3629,75.375
124,1,5,5,26,14,3.7817,75.145,75.147,75.152,19.624,19.593,19.59,19.592,19.581,19.585,19.583,19.592,19.57,19.589,19.581,19.571,19.569,19.589,19.571,19.589,19.584,19.586,19.591,19.589,19.585,30.601,264.72,75.127,75.193,65.918,8.3368,8.337,0.0002,311.99,8.1968,75.218
125,1,5,5,25,14,3.8034,75.055,75.059,75.055,19.128,19.107,19.095,19.092,19.09,19.093,19.087,19.087,19.079,19.08,19.087,19.085,19.09,19.089,19.086,19.089,19.094,19.095,19.088,19.093,19.088,21.14,264.84,75.025,75.135,110.09,8.252,8.2523,0.0003,312.13,8.1126,75.122
126,1,5,5,24,14,3.9368,74.989,75,74.995,13.207,13.182,13.17,13.165,13.162,13.162,13.162,13.162,13.162,13.161,13.175,13.166,13.163,13.165,13.166,13.166,13.165,13.166,13.165,13.165,13.166,25.59,265.1,74.965,74.977,11.902,6.6493,6.6475,0.0018,312.33,6.5085,75.062
127,1,5,5,23,14,3.868,74.934,74.94,74.94,22.272,22.249,22.238,22.235,22.23,22.228,22.223,22.228,22.229,22.227,22.223,22.221,22.221,22.227,22.226,22.221,22.231,22.22,22.23,22.256,22.253,22.988,265.02,74.921,74.935,14.42,8.8615,8.8619,0.0004,312.37,8.7263,75.004
128,1,5,5,22,14,4.0142,74.865,74.862,74.864,12.882,12.858,12.847,12.842,12.84,12.838,12.839,12.839,12.84,12.841,12.84,12.839,12.84,12.839,12.838,12.84,12.841,12.841,12.841,12.84,12.839,23.392,265.3,74.85,74.882,31.891,6.4055,6.4037,0.0018,312.64,6.2648,74.928
129,1,5,5,21,14,3.9523,74.782,74.787,74.784,18.814,18.781,18.771,18.765,18.766,18.764,18.76,18.762,18.761,18.761,18.766,18.768,18.77,18.769,18.774,18.772,18.767,18.764,18.765,18.768,18.771,32.351,265.43,74.775,74.816,41.428,8.0766,8.0758,0.0008,312.86,7.9329,74.828
130,1,5,5,20,14,3.963,74.733,74.732,74.733,13.804,13.778,13.764,13.763,13.751,13.754,13.757,13.756,13.754,13.753,13.755,13.755,13.756,13.758,13.758,13.756,13.755,13.758,13.759,13.758,13.756,26.813,265.53,74.76,74.741,18.997,6.6064,6.6066,0.0002,312.83,6.4677,74.779
131,1,5,5,19,14,3.9288,74.705,74.706,74.706,12.865,12.841,12.827,12.811,12.81,12.819,12.807,12.805,12.807,12.814,12.808,12.807,12.821,12.813,12.808,12.807,12.809,12.809,12.814,12.821,12.821,23.939,265.45,74.71,74.738,27.161,6.4037,6.4012,0.0026,312.79,6.2635,74.748
132,1,5,5,18,14,3.8654,74.74,74.739,74.741,12.208,12.183,12.17,12.165,12.162,12.16,12.161,12.161,12.16,12.162,12.161,12.16,12.161,12.162,12.162,12.163,12.162,12.163,12.163,12.163,12.162,24.919,265.49,74.729,74.739,9.7656,6.2141,6.2126,0.0015,312.85,6.0753,74.783
133,1,5,5,17,14,3.9063,74.798,74.803,74.804,12.222,12.197,12.186,12.181,12.178,12.177,12.175,12.176,12.177,12.176,12.176,12.176,12.177,12.178,12.177,12.178,12.178,12.177,12.179,12.178,12.179,24.146,265.45,74.765,74.771,6.1035,6.2177,6.2157,0.002,312.84,6.0773,74.849
134,1,5,5,16,14,3.9048,74.85,74.858,74.864,12.255,12.233,12.221,12.216,12.214,12.212,12.212,12.212,12.213,12.214,12.214,12.214,12.213,12.213,12.214,12.213,12.214,12.216,12.215,12.214,12.214,22.402,265.36,74.814,74.988,173.49,6.233,6.2317,0.0012,312.75,6.0947,74.929
135,1,5,5,15,14,3.8271,74.889,74.893,74.893,12.306,12.281,12.267,12.26,12.259,12.256,12.255,12.255,12.256,12.256,12.255,12.257,12.257,12.257,12.257,12.256,12.257,12.257,12.257,12.257,12.257,24.823,265.26,74.875,74.853,22.125,6.2655,6.2638,0.0017,312.76,6.1246,74.978
136,1,5,5,14,14,3.8731,74.935,74.936,74.936,12.336,12.313,12.302,12.298,12.298,12.298,12.299,12.298,12.298,12.299,12.299,12.299,12.3,12.3,12.3,12.3,12.3,12.302,12.301,12.301,12.301,22.575,265.19,74.893,74.89,3.3569,6.2839,6.2821,0.0018,312.44,6.145,75.012
137,1,5,5,13,14,3.925,75.053,75.054,75.055,12.416,12.391,12.383,12.379,12.378,12.379,12.38,12.379,12.379,12.378,12.38,12.38,12.382,12.381,12.38,12.382,12.381,12.382,12.382,12.384,12.385,24.187,265.09,75.009,74.989,20.218,6.3051,6.3028,0.0022,312.56,6.1657,75.115
138,1,5,5,12,14,3.8941,75.224,75.215,75.221,12.436,12.413,12.403,12.399,12.397,12.397,12.396,12.395,12.395,12.396,12.397,12.398,12.398,12.399,12.4,12.4,12.399,12.399,12.398,12.399,12.4,23.329,265.11,75.219,75.225,5.1117,6.3027,6.3006,0.0022,312.62,6.1631,75.275
