
Tester ID/Tester Station: 3381-P-XX-020B-001003/
Computer Name           : 3380P-ATE-1003
Handler/Prober Name     : (Temperature: 022.8 C)
Production ID           : 50A_550mV_4U
Test Program Name       : D:\Project\LLD\LLD_8_Site\LLDC_3380P_AOR09_260402\LLDC_3380P_AOR09_211206.pln
Device Name             :
Lot ID                  : NK13374
Wafer ID                : NK13374-01
Probe Card No           :
Load Board No           :
SFT                     :
OPERATOR                :
Test Start Date         : Fri May 08 11:52:52 2026
Test End Date           : Fri May 08 11:55:04 2026
Fail Retest Rate        : 0.000000 % (Gross:568, Sample:568)
Sequence All ON         : NO
PreLoad Pat(Time)       :
Craft Current User      : app
Craft Version           : CRAFT_3380_2.60-SP3
OutPut TDO              :  WaferMapTDO SummaryTDO DataLogTDO HistogramTDO
Run Card No             :
Rom Code                :
                                       


 Sample   Pass   Pass%   Fail   Fail%
   542   529    97.60%      13     2.40%

,,,,,,Contact(1),Contact(2),Contact(3),Contact(4),VZ0(5),VZ0(6),VZ0(7),IR0(8),DIR0(9),VF0(10),VZ1(11),VZ2(12),DVZ(13),IR2_1(14),IR2_1_1(15),DIR2_1(16),VF1(17),IR2_2(18),VZ3(19),
139,6,1,1,9,17,365.381,3.436,330.634,2.58,22.105,22.105,22.105,22.612,2.861,238.236,22.319,22.254,64.453,6.711,6.599,-111.984,283.689,6.579,22.553,
140,7,1,1,10,17,347.936,3.037,339.746,2.767,22.285,22.285,22.285,22.633,2.67,236.75,22.502,22.439,62.622,8.921,8.813,-108.528,282.226,8.8,22.733,
141,0,1,1,11,16,385.001,3.505,383.048,3.311,22.115,22.115,22.115,22.611,7.153,238.417,22.342,22.268,74.89,8.802,8.715,-87.592,283.856,8.699,22.585,
142,1,1,1,12,16,376.74,3.306,341.957,3.218,22.242,22.242,22.242,22.619,9.823,236.993,22.475,22.398,76.859,9.747,9.617,-130.07,282.408,9.602,22.723,
143,2,1,1,13,16,312.474,3.844,365.939,3.162,22.135,22.135,22.135,22.641,8.488,237.707,22.351,22.279,72.098,6.421,6.284,-137.632,283.114,6.259,22.596,
144,3,1,1,14,16,370.96,3.205,344.503,3.531,22.318,22.318,22.318,22.606,5.627,236.185,22.552,22.48,72.51,10.65,10.533,-116.988,281.606,10.519,22.796,
145,4,1,1,11,17,330.713,3.318,362.699,3.37,22.275,22.275,22.275,22.619,6.771,237.754,22.487,22.412,74.844,8.68,8.581,-99.036,283.187,8.563,22.727,
146,5,1,1,12,17,348.973,3.223,367.32,3.28,22.156,22.156,22.156,22.618,5.627,237.122,22.392,22.316,75.623,10.247,10.115,-131.843,282.556,10.096,22.643,
147,6,1,1,13,17,377.004,3.731,337.98,2.788,22.11,22.11,22.11,22.626,6.866,237.795,22.334,22.262,71.96,8.045,7.887,-158.187,283.234,7.858,22.584,
148,7,1,1,14,17,359.316,3.276,349.474,2.973,22.307,22.307,22.307,22.635,6.676,236.733,22.534,22.464,69.672,9.355,9.224,-131.585,282.164,9.206,22.778,
149,0,1,1,15,16,387.204,3.496,385.158,3.311,22.146,22.146,22.146,22.604,5.245,238.441,22.372,22.299,72.51,8.519,8.387,-131.798,283.88,8.354,22.612,
150,1,1,1,16,16,379.658,3.299,344.818,3.214,22.27,22.27,22.27,22.608,4.578,237.021,22.501,22.428,73.38,9.112,8.928,-183.633,282.438,8.886,22.751,
151,2,1,1,17,16,315.621,3.841,369.222,3.163,22.146,22.146,22.146,22.629,5.15,237.737,22.362,22.293,69.489,5.725,5.522,-202.875,283.149,5.469,22.607,
152,3,1,1,18,16,373.027,3.2,349.095,3.584,22.313,22.313,22.313,22.6,5.531,236.213,22.549,22.477,72.693,10.297,10.166,-130.889,281.632,10.143,22.793,
153,4,1,1,15,17,334.661,3.315,365.989,3.356,22.296,22.296,22.296,22.606,5.722,237.788,22.52,22.45,70.175,7.923,7.777,-146.103,283.231,7.738,22.764,
154,5,1,1,16,17,353.129,3.218,371.468,3.28,22.172,22.172,22.172,22.603,6.199,237.165,22.407,22.334,73.38,9.327,9.128,-198.735,282.599,9.081,22.657,
155,6,1,1,17,17,379.035,3.713,341.113,2.787,22.121,22.121,22.121,22.615,6.771,237.827,22.332,22.26,72.052,7.423,7.235,-187.93,283.27,7.188,22.578,
156,7,1,1,18,17,362.384,3.277,352.542,2.975,22.301,22.301,22.301,22.624,4.101,236.769,22.528,22.459,69.397,8.674,8.541,-133.144,282.205,8.518,22.772,
157,0,1,1,19,16,386.167,3.49,386.138,3.344,22.131,22.131,22.131,22.607,7.248,238.433,22.359,22.286,73.151,8.855,8.732,-122.934,283.875,8.702,22.599,
158,1,1,1,20,16,374.644,3.295,339.696,3.204,22.269,22.269,22.269,22.635,5.054,236.975,22.499,22.425,74.158,11.304,11.12,-184.059,282.398,11.083,22.747,
159,2,1,1,21,16,305.979,3.83,360.246,3.164,22.16,22.16,22.16,22.686,5.245,237.64,22.373,22.302,70.77,10.143,9.925,-218.414,283.06,9.877,22.615,
160,3,1,1,22,16,364.43,3.191,340.533,3.575,22.331,22.331,22.331,22.65,6.39,236.135,22.565,22.492,73.151,14.149,13.985,-163.74,281.549,13.96,22.806,
161,4,1,1,19,17,333.159,3.294,365.524,3.351,22.282,22.282,22.282,22.607,5.627,237.787,22.507,22.437,70.267,8.095,7.954,-141.593,283.225,7.921,22.75,
162,5,1,1,20,17,348.337,3.212,367.234,3.282,22.172,22.172,22.172,22.626,6.866,237.123,22.406,22.333,73.563,11.191,10.976,-214.476,282.556,10.933,22.655,
163,6,1,1,21,17,364.645,3.565,333.71,2.79,22.124,22.124,22.124,22.659,6.676,237.756,22.346,22.276,70.358,11.008,10.747,-261.183,283.189,10.687,22.593,
164,7,1,1,22,17,353.487,3.267,344.388,2.982,22.313,22.313,22.313,22.673,7.725,236.688,22.539,22.469,69.534,12.553,12.34,-213.051,282.12,12.301,22.782,
165,0,1,1,23,16,381.732,3.487,381.095,3.322,22.142,22.142,22.142,22.63,5.627,238.389,22.366,22.294,71.548,10.561,10.424,-136.129,283.83,10.393,22.606,
166,1,1,1,24,16,375.609,3.288,340.412,3.193,22.259,22.259,22.259,22.628,7.439,236.991,22.489,22.416,73.471,10.604,10.402,-202.145,282.412,10.36,22.738,
167,2,1,1,25,16,311.444,3.825,365.252,3.149,22.137,22.137,22.137,22.646,4.387,237.704,22.351,22.281,69.901,6.937,6.719,-217.696,283.121,6.664,22.597,
168,3,1,1,26,16,369.165,3.192,347.693,3.63,22.309,22.309,22.309,22.615,4.959,236.175,22.543,22.471,71.732,11.312,11.157,-154.966,281.603,11.126,22.786,
169,4,1,1,23,17,329.039,3.302,360.131,3.333,22.288,22.288,22.288,22.63,5.15,237.746,22.51,22.44,70.313,9.834,9.689,-145.104,283.178,9.656,22.752,
170,5,1,1,24,17,348.265,3.207,366.59,3.262,22.163,22.163,22.163,22.624,5.15,237.125,22.396,22.324,72.647,10.915,10.71,-205.175,282.564,10.667,22.646,
171,6,1,1,25,17,370.166,3.602,337.007,2.774,22.109,22.109,22.109,22.632,6.676,237.792,22.32,22.248,71.274,8.708,8.458,-249.492,283.236,8.392,22.566,
172,7,1,1,26,17,357.864,3.267,348.101,2.964,22.293,22.293,22.293,22.642,6.771,236.732,22.519,22.45,68.39,9.929,9.75,-178.965,282.161,9.714,22.762,
173,0,1,1,27,16,382.454,3.489,382.74,3.346,22.131,22.131,22.131,22.621,5.817,238.395,22.342,22.276,66.422,9.738,9.627,-111.535,283.833,9.598,22.569,
174,1,9,9,28,16,376.596,3.315,341.341,3.222,22.253,22.253,22.253,22.734,74.005,,,,,,,,,,,
175,2,1,1,29,16,314.455,3.834,368.071,3.159,22.128,22.128,22.128,22.634,7.439,237.728,22.329,22.265,64.27,5.746,5.607,-139.214,283.143,5.573,22.56,
176,3,1,1,30,16,373.321,3.203,352.914,3.666,22.286,22.286,22.286,22.597,6.485,236.208,22.515,22.445,69.489,9.752,9.62,-132.449,281.65,9.599,22.752,
177,4,1,1,27,17,329.032,3.303,360.231,3.342,22.278,22.278,22.278,22.626,8.583,237.742,22.491,22.425,66.788,9.341,9.193,-148.493,283.17,9.156,22.724,
178,5,1,1,28,17,348.737,3.216,367.134,3.274,22.161,22.161,22.161,22.621,7.153,237.115,22.38,22.313,66.65,10.467,10.297,-170.124,282.563,10.255,22.615,
179,6,1,1,29,17,372.584,3.615,339.11,2.786,22.097,22.097,22.097,22.623,5.817,237.81,22.311,22.244,66.742,7.737,7.562,-175.151,283.249,7.519,22.551,
180,7,1,1,30,17,361.233,3.275,351.512,2.977,22.271,22.271,22.271,22.627,5.913,236.753,22.491,22.425,66.01,8.584,8.431,-153.306,282.198,8.4,22.728,
181,0,1,1,31,16,374.765,3.267,376.368,3.146,22.087,22.087,22.087,22.599,2.956,238.44,22.306,22.24,66.055,7.908,7.813,-95.143,283.869,7.791,22.536,
182,1,1,1,32,16,369.122,3.075,335.784,3.012,22.22,22.22,22.22,22.596,4.101,237.035,22.446,22.381,65.369,7.96,7.801,-159.073,282.468,7.757,22.685,
183,4,1,1,31,17,321.25,3.069,354.581,3.141,22.242,22.242,22.242,22.606,3.052,237.781,22.443,22.378,65.094,7.5,7.386,-114.508,283.215,7.358,22.671,
184,5,1,1,32,17,340.669,2.986,360.546,3.069,22.124,22.124,22.124,22.599,4.005,237.154,22.352,22.287,65.46,8.733,8.568,-165.412,282.6,8.523,22.591,
185,6,1,1,33,17,364.673,3.362,333.574,2.579,22.053,22.053,22.053,22.598,4.005,237.859,22.271,22.209,62.027,5.735,5.597,-138.754,283.304,5.549,22.504,
186,0,1,1,31,18,381.124,3.381,382.919,3.26,22.1,22.1,22.1,22.6,5.15,238.443,22.313,22.248,65.186,7.981,7.876,-105.476,283.871,7.851,22.54,
187,1,1,1,32,18,375.524,3.19,341.241,3.105,22.236,22.236,22.236,22.599,5.913,236.94,22.452,22.387,65.735,8.038,7.928,-109.684,282.36,7.909,22.681,
188,2,1,1,33,18,314.119,3.725,369.215,3.073,22.113,22.113,22.113,22.61,5.913,237.781,22.315,22.253,61.89,3.751,3.658,-93.224,283.2,3.637,22.542,
189,4,1,1,31,19,328.546,3.184,361.683,3.251,22.247,22.247,22.247,22.602,3.719,237.794,22.454,22.392,61.89,7.274,7.168,-106.262,283.227,7.141,22.676,
190,5,9,9,32,19,347.986,3.108,367.477,3.184,22.123,22.123,22.123,23.425,1022,,,,,,,,,,,
191,6,1,1,33,19,370.967,3.473,340.447,2.697,22.076,22.076,22.076,22.6,4.768,237.869,22.283,22.221,61.615,5.697,5.604,-93.135,283.305,5.582,22.509,
192,0,1,1,27,18,380.931,3.481,381.632,3.35,22.144,22.144,22.144,22.629,5.627,238.382,22.369,22.298,71.411,10.382,10.22,-161.451,283.825,10.177,22.61,
193,1,1,1,28,18,375.466,3.288,340.648,3.203,22.273,22.273,22.273,22.626,5.245,236.987,22.503,22.431,72.601,10.365,10.15,-215.284,282.415,10.099,22.752,
194,2,1,1,29,18,314.105,3.826,367.999,3.156,22.145,22.145,22.145,22.636,5.817,237.731,22.361,22.291,70.084,5.932,5.755,-176.733,283.149,5.712,22.606,
195,3,1,1,30,18,374.036,3.193,352.17,3.622,22.301,22.301,22.301,22.596,7.153,236.228,22.537,22.465,72.556,9.632,9.506,-125.548,281.658,9.485,22.781,
196,4,1,1,27,19,328.724,3.297,360.811,3.351,22.291,22.291,22.291,22.627,6.485,237.747,22.515,22.445,69.534,9.498,9.319,-178.393,283.181,9.272,22.757,
197,5,1,1,28,19,348.222,3.205,366.84,3.27,22.169,22.169,22.169,22.623,4.768,237.122,22.402,22.33,72.647,10.661,10.446,-214.543,282.567,10.397,22.652,
198,6,1,1,29,19,373.836,3.618,339.954,2.778,22.103,22.103,22.103,22.621,5.436,237.82,22.326,22.255,70.313,7.58,7.382,-197.938,283.267,7.336,22.573,
199,7,1,1,30,19,362.177,3.265,352.478,2.967,22.281,22.281,22.281,22.625,4.864,236.772,22.509,22.439,70.221,8.328,8.186,-142.378,282.21,8.163,22.753,
200,0,1,1,23,18,382.397,3.488,382.197,3.331,22.149,22.149,22.149,22.625,4.959,238.399,22.374,22.302,71.96,10.262,10.113,-149.671,283.838,10.078,22.614,
201,1,1,1,24,18,375.838,3.292,340.583,3.195,22.273,22.273,22.273,22.626,4.578,236.991,22.503,22.43,72.784,10.53,10.352,-178.214,282.418,10.318,22.751,
202,2,1,1,25,18,311.208,3.827,364.959,3.15,22.152,22.152,22.152,22.648,7.057,237.7,22.366,22.297,68.985,7.148,6.943,-204.479,283.12,6.895,22.612,
203,3,1,1,26,18,368.471,3.192,344.803,3.583,22.322,22.322,22.322,22.619,7.629,236.172,22.555,22.485,70.541,11.741,11.561,-180.491,281.597,11.522,22.799,
204,4,1,1,23,19,331.078,3.299,363.858,3.366,22.291,22.291,22.291,22.619,5.531,237.766,22.514,22.444,69.717,9.044,8.897,-146.193,283.201,8.864,22.756,
205,5,1,1,24,19,348.258,3.208,366.712,3.27,22.171,22.171,22.171,22.623,6.771,237.128,22.403,22.331,72.144,10.909,10.707,-202.482,282.563,10.667,22.653,
206,6,1,1,25,19,370.531,3.617,336.571,2.778,22.114,22.114,22.114,22.634,5.436,237.787,22.336,22.266,69.901,8.878,8.673,-205.029,283.232,8.624,22.584,
207,7,1,1,26,19,357.928,3.268,348.172,2.968,22.306,22.306,22.306,22.643,5.054,236.733,22.532,22.464,68.115,10.045,9.858,-187.133,282.164,9.82,22.775,
208,0,1,1,19,18,385.051,3.479,385.773,3.343,22.146,22.146,22.146,22.606,4.292,238.432,22.373,22.301,71.548,8.801,8.681,-119.658,283.873,8.655,22.614,
209,1,1,1,20,18,375.996,3.28,340.583,3.179,22.278,22.278,22.278,22.619,6.008,237,22.508,22.435,73.151,10.192,10.01,-181.681,282.424,9.976,22.756,
210,2,1,1,21,18,308.118,3.813,362.284,3.145,22.166,22.166,22.166,22.662,4.196,237.68,22.38,22.31,69.489,8.413,8.192,-220.355,283.097,8.143,22.624,
211,3,1,1,22,18,364.866,3.178,340.662,3.561,22.338,22.338,22.338,22.638,6.104,236.143,22.571,22.5,71.274,13.388,13.206,-182.904,281.567,13.171,22.813,
212,4,1,1,19,19,332.851,3.286,365.403,3.348,22.289,22.289,22.289,22.604,2.766,237.789,22.513,22.443,69.489,7.961,7.829,-132.033,283.23,7.8,22.755,
213,5,1,1,20,19,349.524,3.191,368.285,3.256,22.168,22.168,22.168,22.611,4.673,237.149,22.401,22.329,72.052,10.052,9.876,-176.205,282.582,9.84,22.65,
214,6,1,1,21,19,369.945,3.614,335.562,2.767,22.113,22.113,22.113,22.638,6.866,237.785,22.336,22.267,69.672,9.31,9.094,-215.777,283.223,9.045,22.584,
215,7,1,1,22,19,355.754,3.25,346.291,2.954,22.313,22.313,22.313,22.652,6.58,236.72,22.538,22.469,68.939,10.915,10.731,-184.34,282.148,10.698,22.782,
216,0,1,1,15,18,383.985,3.487,384.135,3.341,22.157,22.157,22.157,22.613,4.959,238.414,22.385,22.313,71.915,9.281,9.135,-145.856,283.856,9.099,22.626,
217,1,1,1,16,18,378.27,3.294,343.237,3.201,22.281,22.281,22.281,22.61,6.199,237.017,22.514,22.44,73.563,9.361,9.194,-167.42,282.431,9.161,22.763,
218,2,1,1,17,18,313.489,3.826,367.398,3.154,22.165,22.165,22.165,22.633,5.054,237.727,22.381,22.312,68.802,6.128,5.938,-190.107,283.139,5.893,22.626,
219,3,1,1,18,18,371.547,3.188,348.265,3.587,22.334,22.334,22.334,22.601,5.531,236.206,22.57,22.499,71.503,10.506,10.351,-155.18,281.62,10.321,22.815,
220,4,1,1,15,19,332.05,3.306,365.267,3.381,22.305,22.305,22.305,22.613,4.864,237.772,22.531,22.462,68.756,8.483,8.32,-163.078,283.214,8.278,22.775,
221,5,1,1,16,19,350.01,3.209,368.614,3.272,22.178,22.178,22.178,22.611,7.725,237.145,22.414,22.342,72.281,10.002,9.811,-190.264,282.575,9.771,22.665,
222,6,1,1,17,19,373.886,3.649,338.38,2.779,22.125,22.125,22.125,22.622,6.676,237.808,22.349,22.28,69.58,8.035,7.826,-209.382,283.248,7.772,22.598,
223,7,1,1,18,19,360.61,3.26,351.076,2.968,22.315,22.315,22.315,22.626,5.531,236.757,22.543,22.474,68.573,8.898,8.742,-156.111,282.187,8.711,22.786,
224,0,1,1,11,18,383.756,3.513,381.989,3.325,22.135,22.135,22.135,22.619,3.815,238.399,22.364,22.289,74.89,9.515,9.385,-130.373,283.843,9.358,22.605,
225,1,1,1,12,18,376.654,3.318,340.977,3.209,22.274,22.274,22.274,22.624,5.054,236.983,22.508,22.432,75.943,10.134,9.988,-145.935,282.402,9.959,22.758,
226,2,1,1,13,18,312.51,3.845,366.304,3.168,22.165,22.165,22.165,22.642,4.768,237.709,22.382,22.313,69.717,6.584,6.373,-211.402,283.118,6.318,22.63,
227,3,1,1,14,18,370.502,3.211,346.863,3.6,22.338,22.338,22.338,22.609,4.387,236.177,22.575,22.502,72.784,10.954,10.795,-158.579,281.6,10.761,22.819,
228,4,1,1,11,19,330.584,3.317,363.314,3.382,22.288,22.288,22.288,22.621,3.91,237.753,22.514,22.441,73.151,8.746,8.667,-78.594,283.191,8.65,22.757,
229,5,1,1,12,19,348.816,3.232,367.141,3.286,22.18,22.18,22.18,22.623,5.245,237.116,22.417,22.342,74.661,10.632,10.457,-175.801,282.55,10.421,22.667,
230,6,1,1,13,19,371.618,3.638,337.415,2.796,22.13,22.13,22.13,22.63,5.627,237.787,22.355,22.285,70.129,8.52,8.291,-228.758,283.225,8.23,22.605,
231,7,1,1,14,19,359.809,3.283,349.989,2.986,22.326,22.326,22.326,22.633,5.627,236.733,22.554,22.485,69.214,9.309,9.14,-169.182,282.164,9.103,22.799,
232,1,1,1,8,18,377.698,3.195,343.766,3.123,22.252,22.252,22.252,22.588,2.956,237.062,22.472,22.405,66.605,7.202,7.104,-97.241,282.54,7.089,22.703,
233,2,1,1,9,18,311.201,3.73,366.068,3.073,22.151,22.151,22.151,22.624,2.861,238.155,22.356,22.292,63.721,4.857,4.712,-144.577,283.588,4.681,22.588,
234,3,1,1,10,18,366.368,3.092,346.148,3.551,22.31,22.31,22.31,22.605,2.48,236.211,22.535,22.468,66.559,10.272,10.157,-114.665,281.678,10.137,22.767,
235,5,1,1,8,19,348.988,3.112,368.643,3.192,22.137,22.137,22.137,22.591,3.052,237.186,22.36,22.295,65.277,7.973,7.864,-109.28,282.68,7.843,22.593,
236,6,1,1,9,19,370.66,3.534,337.222,2.699,22.101,22.101,22.101,22.612,4.387,238.245,22.314,22.25,63.904,6.729,6.568,-161.766,283.696,6.528,22.551,
237,7,1,1,10,19,354.588,3.166,345.969,2.887,22.292,22.292,22.292,22.633,3.624,236.753,22.508,22.445,63.08,8.92,8.805,-115.507,282.232,8.784,22.74,
238,1,1,1,8,20,378.85,3.198,343.773,3.109,22.242,22.242,22.242,22.585,3.147,237.058,22.477,22.405,72.006,7.027,6.917,-109.897,282.473,6.895,22.722,
239,2,1,1,9,20,312.13,3.73,365.739,3.053,22.143,22.143,22.143,22.621,5.627,238.166,22.357,22.291,65.643,4.689,4.518,-171.56,283.59,4.476,22.601,
240,3,1,1,10,20,367.37,3.091,345.154,3.517,22.315,22.315,22.315,22.602,5.913,236.203,22.55,22.48,69.077,10.05,9.932,-118.839,281.609,9.909,22.79,
241,5,1,1,8,21,351.77,3.113,370.417,3.178,22.137,22.137,22.137,22.582,4.482,237.201,22.373,22.304,68.527,7.261,7.161,-100.607,282.632,7.142,22.617,
242,6,1,1,9,21,373.714,3.558,337.908,2.681,22.113,22.113,22.113,22.605,4.959,238.258,22.324,22.256,68.39,6.182,6.027,-154.383,283.711,5.99,22.567,
243,7,1,1,10,21,356.569,3.165,346.82,2.868,22.307,22.307,22.307,22.625,4.673,236.758,22.534,22.469,65.231,8.335,8.197,-137.598,282.175,8.172,22.776,
244,0,9,9,11,20,384.586,3.512,384.679,3.367,22.111,22.111,22.111,23.419,1021,,,,,,,,,,,
245,1,1,1,12,20,377.147,3.306,342.014,3.213,22.295,22.295,22.295,22.621,4.864,236.997,22.517,22.449,67.52,9.907,9.738,-169.07,282.41,9.698,22.755,
246,2,1,1,13,20,313.275,3.843,367.084,3.168,22.183,22.183,22.183,22.639,5.627,237.705,22.393,22.328,65.277,6.386,6.175,-211.345,283.13,6.115,22.634,
247,3,1,1,14,20,371.74,3.201,349.617,3.625,22.35,22.35,22.35,22.603,4.387,236.199,22.581,22.513,68.253,10.489,10.333,-156.122,281.616,10.298,22.822,
248,4,1,1,11,21,332.065,3.319,364.859,3.387,22.311,22.311,22.311,22.615,5.054,237.761,22.526,22.461,64.59,8.329,8.235,-93.494,283.199,8.213,22.758,
249,5,1,1,12,21,349.309,3.222,368.128,3.291,22.207,22.207,22.207,22.619,5.817,237.127,22.436,22.367,68.848,10.359,10.152,-207.194,282.558,10.101,22.68,
250,6,1,1,13,21,372.169,3.632,338.595,2.797,22.155,22.155,22.155,22.627,6.008,237.798,22.374,22.308,66.33,8.189,7.969,-219.525,283.239,7.907,22.618,
251,7,1,1,14,21,360.396,3.277,351.176,2.987,22.339,22.339,22.339,22.63,4.673,236.748,22.563,22.497,65.369,9.02,8.859,-160.711,282.176,8.824,22.803,
252,0,1,1,15,20,386.56,3.501,385.616,3.335,22.165,22.165,22.165,22.607,4.959,238.438,22.396,22.324,71.594,8.761,8.634,-127.119,283.874,8.601,22.64,
253,1,1,1,16,20,380.294,3.309,345.061,3.213,22.282,22.282,22.282,22.605,3.91,237.029,22.516,22.443,72.968,8.985,8.823,-161.833,282.446,8.789,22.768,
254,2,1,1,17,20,315.707,3.843,369.215,3.161,22.169,22.169,22.169,22.628,5.054,237.741,22.386,22.318,68.573,5.731,5.553,-177.832,283.15,5.509,22.633,
255,3,1,1,18,20,374.601,3.206,351.233,3.617,22.343,22.343,22.343,22.594,4.768,236.228,22.579,22.507,72.006,9.895,9.775,-120.488,281.649,9.756,22.824,
256,4,1,1,15,21,333.581,3.316,366.39,3.381,22.32,22.32,22.32,22.607,4.387,237.784,22.533,22.462,71.091,8.038,7.902,-136.241,283.224,7.87,22.776,
257,5,1,1,16,21,352.156,3.221,370.696,3.285,22.186,22.186,22.186,22.606,7.915,237.16,22.424,22.352,71.457,9.558,9.372,-186.18,282.592,9.328,22.677,
258,6,1,1,17,21,374.372,3.625,340.97,2.792,22.136,22.136,22.136,22.616,6.58,237.829,22.362,22.294,68.207,7.621,7.386,-234.245,283.268,7.321,22.613,
259,7,1,1,18,21,363.808,3.276,354.109,2.978,22.326,22.326,22.326,22.619,4.864,236.785,22.554,22.485,68.71,8.334,8.194,-140.179,282.216,8.17,22.799,
260,0,1,1,19,20,387.769,3.475,386.074,3.293,22.146,22.146,22.146,22.597,4.196,238.465,22.374,22.302,72.327,8.122,8.011,-110.548,283.906,7.988,22.614,
261,1,1,1,20,20,380.616,3.276,345.168,3.175,22.261,22.261,22.261,22.6,5.341,237.043,22.495,22.421,74.02,8.638,8.485,-153.171,282.464,8.455,22.743,
262,2,1,1,21,20,313.776,3.812,367.62,3.139,22.149,22.149,22.149,22.634,5.341,237.736,22.365,22.296,69.351,6.211,6.028,-183.565,283.152,5.986,22.609,
263,3,1,1,22,20,369.558,3.174,346.484,3.578,22.33,22.33,22.33,22.613,5.913,236.186,22.566,22.494,71.411,11.425,11.287,-137.251,281.608,11.263,22.808,
264,4,1,1,19,21,334.725,3.29,366.683,3.337,22.292,22.292,22.292,22.6,4.578,237.81,22.517,22.448,69.534,7.583,7.456,-126.839,283.253,7.428,22.76,
265,5,1,1,20,21,353.537,3.192,372.169,3.256,22.168,22.168,22.168,22.597,5.245,237.184,22.403,22.33,72.693,8.892,8.729,-163.157,282.615,8.695,22.652,
266,6,1,1,21,21,374.05,3.594,340.741,2.768,22.123,22.123,22.123,22.614,5.531,237.842,22.334,22.264,70.633,7.422,7.23,-192.451,283.279,7.185,22.579,
267,7,1,1,22,21,359.223,3.25,349.81,2.958,22.312,22.312,22.312,22.634,5.913,236.751,22.539,22.471,68.161,9.522,9.369,-152.689,282.178,9.341,22.783,
268,0,1,1,23,20,386.188,3.481,385.394,3.322,22.15,22.15,22.15,22.607,5.341,238.442,22.377,22.305,72.372,8.877,8.76,-116.831,283.874,8.733,22.617,
269,1,1,1,24,20,378.363,3.289,343.38,3.201,22.277,22.277,22.277,22.614,7.629,237.022,22.51,22.436,73.975,9.634,9.467,-166.523,282.436,9.436,22.758,
270,2,1,1,25,20,313.947,3.835,367.455,3.153,22.159,22.159,22.159,22.638,6.39,237.731,22.375,22.305,70.496,6.341,6.174,-167.039,283.147,6.138,22.62,
271,3,1,1,26,20,371.017,3.198,349.374,3.634,22.332,22.332,22.332,22.61,8.106,236.196,22.568,22.496,72.556,10.978,10.83,-147.775,281.625,10.804,22.811,
272,4,1,1,23,21,334.06,3.297,367.155,3.37,22.295,22.295,22.295,22.606,5.531,237.798,22.521,22.451,70.313,7.969,7.841,-128.645,283.233,7.811,22.764,
273,5,1,1,24,21,351.655,3.207,370.352,3.272,22.182,22.182,22.182,22.61,6.962,237.163,22.418,22.344,73.7,9.82,9.636,-183.24,282.597,9.599,22.667,
274,6,1,1,25,21,373.807,3.634,339.375,2.778,22.129,22.129,22.129,22.625,7.439,237.822,22.353,22.282,70.999,8.062,7.873,-188.558,283.261,7.829,22.601,
275,7,1,1,26,21,360.417,3.268,350.79,2.972,22.323,22.323,22.323,22.634,6.58,236.754,22.55,22.482,68.893,9.296,9.126,-169.653,282.194,9.094,22.794,
276,0,1,1,27,20,383.706,3.49,382.469,3.313,22.152,22.152,22.152,22.617,5.054,238.411,22.378,22.306,72.052,9.436,9.305,-130.844,283.849,9.275,22.618,
277,1,1,1,28,20,378.299,3.293,343.215,3.199,22.276,22.276,22.276,22.614,5.245,237.015,22.507,22.432,74.432,9.377,9.215,-162.113,282.431,9.184,22.754,
278,2,1,1,29,20,316.472,3.832,369.973,3.15,22.149,22.149,22.149,22.627,5.531,237.754,22.363,22.293,70.313,5.223,5.063,-160.397,283.168,5.029,22.608,
279,3,1,1,30,20,375.531,3.198,353.622,3.629,22.302,22.302,22.302,22.591,4.673,236.24,22.539,22.465,73.746,9.229,9.115,-113.768,281.67,9.1,22.782,
280,4,1,1,27,21,331.357,3.3,364.623,3.381,22.313,22.313,22.313,22.617,5.341,237.769,22.522,22.45,72.098,8.656,8.507,-149.312,283.203,8.472,22.762,
281,5,1,1,28,21,351.033,3.209,369.644,3.273,22.182,22.182,22.182,22.611,6.485,237.151,22.416,22.342,73.7,9.716,9.536,-179.751,282.587,9.499,22.666,
282,6,1,1,29,21,375.595,3.636,340.941,2.782,22.114,22.114,22.114,22.617,8.869,237.831,22.339,22.267,71.365,7.216,7.032,-183.644,283.275,6.991,22.587,
283,7,1,1,30,21,363.715,3.27,354.095,2.975,22.29,22.29,22.29,22.619,5.913,236.786,22.518,22.448,70.313,7.881,7.751,-130.496,282.225,7.728,22.762,
284,0,1,1,31,20,382.955,3.37,381.703,3.197,22.105,22.105,22.105,22.595,4.387,238.464,22.327,22.258,68.893,7.566,7.449,-117.044,283.886,7.42,22.561,
285,1,1,1,32,20,377.119,3.18,342.5,3.1,22.234,22.234,22.234,22.593,4.768,237.057,22.461,22.389,71.594,7.613,7.493,-120.69,282.473,7.471,22.703,
286,2,1,1,33,20,315.936,3.725,369.53,3.048,22.119,22.119,22.119,22.606,3.242,237.796,22.329,22.262,66.833,3.443,3.339,-104.175,283.214,3.319,22.566,
287,4,1,1,31,21,329.94,3.187,363.722,3.28,22.252,22.252,22.252,22.598,5.15,237.808,22.472,22.404,67.429,7.052,6.911,-140.976,283.237,6.873,22.708,
